,song,artist,peak_rank,total_weeks,weeks,spotify_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Another Day In Paradise,Phil Collins,1,9,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17', '1990-02-24', '1990-03-03']",1NCuYqMc8hKMb4cpNTcJbD,0.78,0.565,-7.32,0.0306,0.736,0.00269,0.063,0.365,101.967
1,Rhythm Nation,Janet Jackson,2,9,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17', '1990-02-24', '1990-03-03']",4nTYxxF8iWBq54LO3dBUie,0.633,0.931,-7.752,0.0686,0.0504,0.109,0.375,0.676,109.116
2,Dont Know Much,Linda Ronstadt (Featuring Aaron Neville),2,12,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17', '1990-02-24', '1990-03-03', '1990-03-10', '1990-03-17', '1990-03-24']",5z3ZDMP02xF33yCvPFnct3,0.401,0.285,-11.005,0.0327,0.657,1.13e-05,0.158,0.267,130.465
3,Pump Up The Jam,Technotronic Featuring Felly,4,12,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17', '1990-02-24', '1990-03-03', '1990-03-10', '1990-03-17', '1990-03-24']",21qnJAMtzC6S5SESuqQLEK,0.885,0.844,-9.225,0.0733,0.0147,4.49e-06,0.0494,0.715,124.602
4,With Every Beat Of My Heart,Taylor Dayne,5,7,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17']",3hK26G5cYhJ9KjcUy1aBRk,0.773,0.893,-4.768,0.034,0.0827,2.25e-06,0.0984,0.971,121.37
5,How Am I Supposed To Live Without You,Michael Bolton,6,13,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17', '1990-02-24', '1990-03-03', '1990-03-10', '1990-03-17', '1990-03-24', '1990-03-31']",3RMeOetCdXttthQK0clPuz,0.541,0.44,-12.206,0.031,0.191,0.0,0.114,0.232,140.273
6,This Ones For The Children,New Kids On The Block,7,8,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17', '1990-02-24']",78bDGxqn2KF2VU1G3Kz6J0,0.594,0.421,-13.707,0.0312,0.198,0.0,0.0832,0.637,74.041
7,Just Like Jesse James,Cher,8,7,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17']",5JGdpqo9wrRtOZtui5GShI,0.4,0.563,-10.233,0.0307,0.17,0.0,0.133,0.442,138.006
8,We Didnt Start The Fire,Billy Joel,1,7,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17']",3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,-5.206,0.047,0.0771,0.0,0.356,0.895,145.024
9,Everything,Jody Watley,10,31,"['1990-01-06', '1990-01-13', '1990-01-20', '1990-01-27', '1990-02-03', '1990-02-10', '1990-02-17', '1990-02-24', '1990-03-03', '1990-03-10', '1990-03-17', '1997-09-27', '1997-10-04', '1997-10-11', '1997-10-18', '1997-10-25', '1997-11-01', '1997-11-08', '1997-11-15', '1997-11-22', '1997-11-29', '1997-12-06', '1997-12-13', '1997-12-20', '1997-12-27', '1998-01-03', '1998-01-10', '1998-01-17', '1998-01-24', '1998-01-31', '1998-02-07']",5p4xF15jnsw1rfi55Gv1lU,0.57,0.692,-9.551,0.0303,0.584,0.0112,0.203,0.693,163.972
